Temperature;1;2;3;4;5;6;7;8
79,99;89,38094069;89,39688848;89,5466198;89,48290333;89,52128129;89,65153958;89,460983;89,53416917
80;89,34051522;89,356555;89,50709923;89,44295443;89,48071386;89,61169125;89,42058177;89,4932744
80,01;89,3001022;89,31622151;89,46760419;89,40285686;89,43991114;89,57178472;89,38016585;89,45234839
80,02;89,25961447;89,27588803;89,42813469;89,36270523;89,39894233;89,53167451;89,33950016;89,41139115
80,03;89,21905204;89,23555454;89,38869072;89,32249953;89,35780742;89,49136061;89,29858472;89,37040267
80,04;89,17843358;89,19510923;89,34894669;89,28175325;89,31597356;89,45077028;89,25719915;89,32911739
80,05;89,1379085;89,15464526;89,3091452;89,24047992;89,27382829;89,41020178;89,21565933;89,28811327
80,06;89,09706594;89,11401355;89,26924794;89,19908497;89,23195292;89,36952416;89,17411951;89,24724972
80,07;89,05571915;89,07309607;89,22891015;89,15750081;89,19002909;89,32864286;89,13244011;89,20596442
80,08;89,01449686;89,03205433;89,18852128;89,11602477;89,14818832;89,28796526;89,09070194;89,16456977
80,09;88,97339907;88,99088834;89,14808133;89,07465685;89,1064306;89,24749133;89,04890499;89,12306579
80,1;88,93281796;88,94977205;89,10812661;89,03374841;89,06484589;89,20722837;89,00723291;89,08161649
80,11;88,89246717;88,90882971;89,06833789;88,99317782;89,02350339;89,16726363;88,96599423;89,04029996
80,12;88,85185493;88,8679495;89,02817886;88,95263427;88,98225777;89,12722615;88,9248437;88,99898343
80,13;88,81098124;88,82713141;88,98764953;88,91211775;88,94110903;89,08711592;88,88378133;88,95766689
80,14;88,7695971;88,78599647;88,94669881;88,87108768;88,89925441;89,04593639;88,84208723;88,91570212
80,15;88,7281756;88,74463787;88,90576724;88,82991571;88,85704687;89,00451681;88,80021685;88,87357332
80,16;88,68692218;88,70327927;88,8649889;88,78876401;88,81498466;88,96381738;88,75867703;88,83179596
80,17;88,64570612;88,6620325;88,82428718;88,74747041;88,77317157;88,92331434;88,71733553;88,79013575
80,18;88,60462077;88,62095347;88,78375784;88,70626466;88,73169064;88,88263674;88,67603809;88,74855366
80,19;88,56344828;88,57991172;88,74317742;88,66476159;88,69001595;88,84158088;88,63456437;88,70686222
80,2;88,52218863;88,53890726;88,70254592;88,62296119;88,6481475;88,80014677;88,59291435;88,66506144
80,21;88,48087918;88,49786554;88,66185059;88,58132296;88,60633441;88,75868354;88,55132311;88,62330751
80,22;88,43947013;88,45651316;88,62101478;88,54004961;88,56449365;88,71739489;88,5098347;88,58145985
80,23;88,39796147;88,41485014;88,58003852;88,49914115;88,52262521;88,67628081;88,46844912;88,53951848
80,24;88,3562225;88,37293238;88,5389154;88,45788808;88,4804592;88,63483939;88,42653465;88,49715537
80,25;88,31467029;88,33127555;88,49817537;88,41655393;88,43856307;88,59309245;88,38404725;88,45479225
80,26;88,27315542;88,28974919;88,45783756;88,37521979;88,39656314;88,55143283;88,34131743;88,41235884
80,27;88,23154717;88,24826012;88,41765298;88,33386536;88,35458396;88,51020967;88,29896222;88,37001915
80,28;88,19018792;88,20704441;88,37749394;88,29271365;88,31315842;88,46935751;88,25725344;88,32820276
80,29;88,14886602;88,16586598;88,33720722;88,25154843;88,27178824;88,4283744;88,21541243;88,28632388
80,3;88,10758147;88,12472483;88,29679281;88,2103697;88,23047343;88,38726035;88,1734392;88,24438252
80,31;88,06622222;88,0833973;88,25644224;88,16916393;88,1890202;88,34607354;88,13130438;88,2023943
